127.0.0.1 - - [18/May/2026 15:18:37] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:46] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:46] "GET /css/tokens.css HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:46] "GET /css/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:46] "GET /css/progressive-ui.css HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:46] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:46] "GET /manifest.json HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:46] "GET /js/state.js HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:46] "GET /js/storage.js HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:46] "GET /js/formatters.js HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:46] "GET /js/theme.js HTTP/1.1" 304 -
127.0.0.1 - - [18/May/2026 15:18:46] "GET /js/validation.js HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:46] "GET /js/example-data.js HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:46] "GET /js/exchange-rate.js HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:46] "GET /js/progressive-ui.js HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:46] "GET /js/summary-state.js HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:46] "GET /js/formulas.js HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:46] code 404, message File not found
127.0.0.1 - - [18/May/2026 15:18:46] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [18/May/2026 15:18:46] "GET /icons/icon-144x144.png HTTP/1.1" 304 -
127.0.0.1 - - [18/May/2026 15:18:46] "GET /service-worker.js HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:46] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:46] "GET /icons/icon-192x192.png HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:46] "GET /icons/icon-512x512.png HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:46] "GET /icons/icon.svg HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:54] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:54] "GET /css/tokens.css HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:54] "GET /css/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:54] "GET /css/progressive-ui.css HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:54] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:54] "GET /js/formatters.js HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:54] "GET /js/state.js HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:54] "GET /js/storage.js HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:54] "GET /js/validation.js HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:54] "GET /js/example-data.js HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:54] "GET /js/theme.js HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:54] "GET /js/exchange-rate.js HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:54] "GET /js/progressive-ui.js HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:54] "GET /js/summary-state.js HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:54] "GET /js/formulas.js HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:55] "GET /manifest.json HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:55] code 404, message File not found
127.0.0.1 - - [18/May/2026 15:18:55] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [18/May/2026 15:18:55] "GET /service-worker.js HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:55] "GET /icons/icon-144x144.png HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:55] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:55] "GET /icons/icon-192x192.png HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:55] "GET /icons/icon-512x512.png HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 15:18:55] "GET /icons/icon.svg HTTP/1.1" 200 -
